year,make,model,trim,body,transmission,vin,mileage,color,interior,price,selling_price
2023,Toyota,Camry,LE,Sedan,Automatic,1HGBH41JXMN109186,150,White,Black,25000,27500
2021,Honda,Accord,EX,Sedan,Automatic,2C3CDZAG5KH654321,32000,Gray,Beige,22000,24000
2022,Nissan,Altima,SV,Sedan,Automatic,5N1AT2MT8KC123456,25000,Blue,Black,23500,25900
2023,Hyundai,Elantra,SEL,Sedan,Automatic,5NPD84LF8PH789012,1200,Silver,Gray,21000,23000
2021,Kia,Forte,GT,Sedan,Automatic,3KPF44AC2ME345678,28000,Red,Black,19500,21500
2022,Chevrolet,Malibu,LT,Sedan,Automatic,1G1ZD5ST4JF901234,22000,Black,Gray,24000,26000
2023,Volkswagen,Jetta,SE,Sedan,Automatic,3VWC57BU6MM567890,800,White,Black,23000,25500
2021,Mazda,Mazda3,Premium,Sedan,Automatic,JM1BPBMM1L1234567,35000,Blue,Beige,21500,23500
2022,Subaru,Legacy,Premium,Sedan,Automatic,4S3BWAC69N3890123,19000,Silver,Black,26000,28500
2023,Toyota,Corolla,XSE,Sedan,Automatic,2T1BURHE0KC456789,2000,Black,Black,24000,26500
2021,Honda,Civic,Sport,Sedan,Automatic,2HGFC2F54MH678901,30000,Red,Gray,23000,25000
2022,Nissan,Sentra,SR,Sedan,Automatic,3N1AB8CV7MY234567,24000,White,Black,20500,22500
2023,Hyundai,Sonata,Limited,Sedan,Automatic,5NPE34AF8PH890123,1500,Gray,Beige,29000,31500
2021,Kia,K5,GT-Line,Sedan,Automatic,5XXG14J21MG456789,27000,Blue,Black,25500,27500
2022,Ford,Mustang,GT,Coupe,Automatic,1FA6P8CF7N5123456,15000,Yellow,Black,38000,41000
2023,Chevrolet,Camaro,SS,Coupe,Automatic,1G1FF1R79N0789012,3000,Black,Black,42000,45000
2021,Dodge,Challenger,R/T,Coupe,Automatic,2C3CDZBT4MH345678,25000,Orange,Black,39000,42000
2022,BMW,330i,xDrive,Sedan,Automatic,WBA5R7C54NEF67890,18000,White,Beige,41000,44500
2023,Mercedes-Benz,C300,Base,Sedan,Automatic,55SWF8EB7NU123456,2500,Silver,Black,45000,48500
2021,Audi,A4,Premium,Sedan,Automatic,WAUAFAFL5MN789012,32000,Gray,Brown,38000,41000
2022,Lexus,ES350,Luxury,Sedan,Automatic,58ABZ1B11NU234567,16000,Black,Beige,42000,45500
2023,Tesla,Model 3,Long Range,Sedan,Automatic,5YJ3E1EA8PF890123,1000,Blue,White,52000,55500
2021,Volvo,S60,Momentum,Sedan,Automatic,7JR102FK4MG456789,28000,White,Black,36000,39000
2022,Genesis,G70,Sport,Sedan,Automatic,KMTG34LA4NU123456,19000,Red,Black,41000,44000
2023,Toyota,RAV4,XLE,SUV,Automatic,2T3F1RFV8PW789012,2000,Silver,Black,29000,31500
2021,Honda,CR-V,EX-L,SUV,Automatic,7FARW2H84ME234567,31000,Gray,Beige,28000,30500
2022,Nissan,Rogue,SL,SUV,Automatic,5N1AT3BB8PC890123,23000,Blue,Black,31000,33500
2023,Hyundai,Tucson,Limited,SUV,Automatic,5NMS3DAJ9PH456789,1800,White,Gray,32000,34500
2021,Kia,Sportage,EX,SUV,Automatic,KNDPM3AC8M7123456,29000,Black,Black,26000,28500
2022,Ford,Explorer,XLT,SUV,Automatic,1FMSK8DH3NG789012,21000,Red,Black,36000,39000
2023,Chevrolet,Equinox,Premier,SUV,Automatic,3GNAXUEV5PS234567,2200,Silver,Gray,33000,35500
2021,Mazda,CX-5,Grand Touring,SUV,Automatic,JM3KFBDM7M0890123,33000,Blue,Beige,29000,31500
2022,Subaru,Outback,Wilderness,SUV,Automatic,4S4BTGPD2N3456789,20000,Green,Black,34000,36500
2023,Jeep,Grand Cherokee,Limited,SUV,Automatic,1C4RJFBG8P8123456,2500,Black,Brown,45000,48000
2021,BMW,X3,xDrive30i,SUV,Automatic,5UXTY5C03M9789012,27000,White,Black,42000,45500
2022,Mercedes-Benz,GLC300,Base,SUV,Automatic,WDC0G4KB7NF234567,17000,Gray,Beige,47000,50500
2023,Audi,Q5,Premium Plus,SUV,Automatic,WA1BNAFY8P2890123,1900,Blue,Black,48000,51500
2021,Lexus,RX350,Base,SUV,Automatic,2T2HZMDA4MC456789,30000,Silver,Black,43000,46000
2022,Volvo,XC60,Inscription,SUV,Automatic,YV4102RM8M1123456,22000,Black,Beige,45000,48500
2023,Genesis,GV70,Advanced,SUV,Automatic,KMTGL4AG5PU789012,2100,Red,Black,48000,51000
2021,Toyota,Tundra,SR5,Pickup,Automatic,5TFDY5F10MX234567,34000,White,Gray,38000,41000
2022,Honda,Ridgeline,RTL,Pickup,Automatic,5FPYK3F53NB890123,24000,Black,Black,36000,39000
2023,Chevrolet,Silverado,LT,Pickup,Automatic,3GCUYDED8PG456789,2800,Silver,Black,42000,45500
